_datetime_end,_datetime_start,_file_system,_jobid,darshan_agg_perf_by_slowest_posix,darshan_app,darshan_biggest_read_api,darshan_biggest_read_api_bytes,darshan_biggest_read_api_files,darshan_biggest_read_fs,darshan_biggest_read_fs_bytes,darshan_biggest_write_api,darshan_biggest_write_api_bytes,darshan_biggest_write_api_files,darshan_biggest_write_fs,darshan_biggest_write_fs_bytes,darshan_end_time,darshan_io_time,darshan_jobid,darshan_nprocs,darshan_start_time,darshan_total_gibs_posix,darshan_walltime,fs_ave_bytes_read_per_timestep,fs_ave_bytes_written_per_timestep,fs_ave_gibs_read_per_timestep,fs_ave_gibs_written_per_timestep,fs_ave_mds_cpu,fs_ave_oss_cpu,fs_frac_missing,fs_frac_zero_read,fs_frac_zero_written,fs_max_mds_cpu,fs_max_oss_cpu,fs_tot_bytes_read,fs_tot_bytes_written,fs_tot_gibs_read,fs_tot_gibs_written,fshealth_ost_actual_timestamp,fshealth_ost_avg_full_kib,fshealth_ost_avg_full_pct,fshealth_ost_avg_overloaded_ost_per_oss,fshealth_ost_avg_overloaded_overload_factor,fshealth_ost_count,fshealth_ost_failures_lead_secs,fshealth_ost_fullness_lead_secs,fshealth_ost_least_full_id,fshealth_ost_least_full_kib,fshealth_ost_least_full_name,fshealth_ost_least_full_pct,fshealth_ost_most_full_id,fshealth_ost_most_full_kib,fshealth_ost_most_full_name,fshealth_ost_most_full_pct,fshealth_ost_next_timestamp,fshealth_ost_overloaded_oss_count,fshealth_ost_overloaded_ost_count,fshealth_ost_overloaded_pct,fshealth_ost_requested_timestamp,jobsdb_concurrent_jobs,jobsdb_concurrent_nodehrs,jobsdb_concurrent_nodes,topology_job_avg_radius,topology_job_max_radius,topology_job_min_radius
535,1509416907.0,1509416806.0,scratch1,7450313,17830.845828,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/dbscan_read,posix,1649291067392,1,/scratch1,1649291067392,stdio,5221,2,_unknown,5221,1509442102,0.0,7450313,2048,1509442001,1536.02200317,102,3293613576.53,33253855.5979,3.06741667589,0.0309700664113,1.5500891,5.24806741875,0.0,0.00625,0.00208333333333,3.63136,15.1661,1.58093451674e+12,15961850687.0,1472.36000443,14.8656318774,1509441901.0,28497081909.0,31.3956365341,0.0,1.0,24.0,105.0,105.0,21.0,27129663960.0,OST0015,29.8891329189,17.0,31872800760.0,OST0011,35.1147135408,1509441902.0,0.0,0.0,0.0,1509442006.0,716,161.078055556,5852,4.6596896638,8.72034945566,1.15817512877
536,1509417276.0,1509417132.0,scratch2,7450315,12226.036951,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/dbscan_read,posix,1649291067392,1,/scratch2,1649291067392,stdio,5222,2,_unknown,5222,1509442471,0.0,7450315,2048,1509442327,1536.02200317,145,2378824909.98,102766890.098,2.21545333972,0.095709124671,4.2447762069,4.64671635345,0.0,0.0,0.0,9.12188,11.4556,1.65566213734e+12,71525755508.0,1541.95552444,66.613550771,1509442201.0,62538069894.0,68.8990724807,0.0,1.0,24.0,131.0,131.0,16.0,60866250348.0,OST0010,67.0572053385,7.0,64273731232.0,OST0007,70.8112750243,1509442202.0,0.0,0.0,0.0,1509442332.0,760,229.416111111,5888,5.90840132239,9.38708205836,2.80208575356
537,1509417537.0,1509417468.0,scratch3,7450317,27855.805884,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/dbscan_read,posix,1649291067392,1,/scratch3,1649291067392,stdio,5221,2,_unknown,5221,1509442732,0.0,7450317,2048,1509442663,1536.02200317,70,3145584798.35,0.0,2.92955413307,0.0,0.832324214286,4.51337494444,0.00198412698413,0.125,1.0,2.41552,14.0758,1.58537473837e+12,0.0,1476.49528307,0.0,1509442501.0,34819090683.0,38.3606826489,0.0,1.0,36.0,167.0,167.0,31.0,33199634108.0,OST001f,36.5765045294,11.0,36805736528.0,OST000b,40.5493983592,1509442502.0,0.0,0.0,0.0,1509442668.0,705,109.848055556,5756,4.6596896638,8.72034945566,1.15817512877
1068,1498096413.0,1498096353.0,scratch2,6333693,36317.256485,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_read,posix,2250562879488,2048,/scratch2,2250562879488,stdio,1244,2,_unknown,1244,1498121608,59.098738,6333693,2048,1498121548,2096.00001526,61,7267519687.11,52410252.6215,6.76840514607,0.0488108514077,0.670476,9.64826361458,0.0,0.0138888888889,0.00694444444444,2.19381,25.5605,2.09304566989e+12,15094152755.0,1949.30068207,14.0575252054,1498121106.0,69897102076.0,77.006621891,2.0,2.0,24.0,447.0,447.0,15.0,67004722568.0,OST000f,73.8200466465,6.0,80225617468.0,OST0006,88.3856927804,1498121107.0,1.0,2.0,8.33333333333,1498121553.0,368,84.5005555556,5114,5.48955410734,10.0888418069,0.885849312189
1328,1509416675.0,1509416621.0,scratch1,7450313,42351.902836,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_read,posix,2250562879488,2048,/scratch1,2250562879488,stdio,1247,2,_unknown,1247,1509441870,50.677865,7450313,2048,1509441816,2096.00001526,55,8761083869.87,25968167.5708,8.15939518611,0.0241847406801,1.2623748,8.97801021667,0.0,0.0541666666667,0.00416666666667,2.46743,20.6474,2.10266012877e+12,6232360217.0,1958.25484467,5.80433776323,1509441602.0,28502729387.0,31.4018584401,0.0,1.0,24.0,219.0,219.0,21.0,27134842496.0,OST0015,29.894838185,17.0,31879349760.0,OST0011,35.1219286664,1509441603.0,0.0,0.0,0.0,1509441821.0,721,86.1788888889,5782,4.6596896638,8.72034945566,1.15817512877
1329,1509416996.0,1509416940.0,scratch2,7450315,39430.929202,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_read,posix,2250562879488,2048,/scratch2,2250562879488,stdio,1246,2,_unknown,1246,1509442191,54.431992,7450315,2048,1509442135,2096.00001526,57,7684744974.22,22466418.434,7.15697647466,0.0209234826584,3.34658,8.63445546875,0.0,0.0,0.0,5.68296,20.4818,2.21320655258e+12,6470328509.0,2061.2092247,6.02596300561,1509441901.0,62557989343.0,68.9210180182,0.0,1.0,24.0,239.0,239.0,16.0,60887135180.0,OST0010,67.080214452,7.0,64294621248.0,OST0007,70.8342898492,1509441902.0,0.0,0.0,0.0,1509442140.0,723,89.0897222222,5879,5.90840132239,9.38708205836,2.80208575356
1330,1509417357.0,1509417320.0,scratch3,7450317,60832.558749,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_read,posix,2250562879488,2048,/scratch3,2250562879488,stdio,1245,2,_unknown,1245,1509442552,35.282159,7450317,2048,1509442515,2096.00001526,38,7541330759.11,0.0,7.0234115786,0.0,0.662376875,7.65712155556,0.0,0.194444444444,1.0,1.24169,18.0651,2.17190325862e+12,0.0,2022.74253464,0.0,1509442501.0,34819090683.0,38.3606826489,0.0,1.0,36.0,19.0,19.0,31.0,33199634108.0,OST001f,36.5765045294,11.0,36805736528.0,OST000b,40.5493983592,1509442502.0,0.0,0.0,0.0,1509442520.0,696,58.9475,5747,4.6596896638,8.72034945566,1.15817512877
2123,1509416607.0,1509416555.0,scratch1,7450313,43081.897701,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_write,lustre,0,0,/scratch1,0,posix,2250562879488,2048,/scratch1,2250562879488,1509441802,49.819161,7450313,2048,1509441750,2096.00001526,53,1379281.45455,8457140059.81,0.00128455595537,7.87632545439,1.62511263636,23.1111890076,0.0,0.0113636363636,0.0,3.69212,45.2717,364130304.0,2.23268497579e+12,0.339122772217,2079.34991996,1509441602.0,28502729387.0,31.4018584401,0.0,1.0,24.0,153.0,153.0,21.0,27134842496.0,OST0015,29.894838185,17.0,31879349760.0,OST0011,35.1219286664,1509441603.0,0.0,0.0,0.0,1509441755.0,709,83.045,5767,4.6596896638,8.72034945566,1.15817512877
2124,1509416926.0,1509416870.0,scratch2,7450315,40306.669387,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_write,lustre,0,0,/scratch2,0,posix,2250562879488,2048,/scratch2,2250562879488,1509442121,53.249352,7450315,2048,1509442065,2096.00001526,57,17548458.6667,7756469899.08,0.016343275706,7.22377551634,2.9464825,20.6322678646,0.0,0.0,0.0,4.6013,43.7762,5053956096.0,2.23386333094e+12,4.70686340332,2080.44734871,1509441901.0,62557989343.0,68.9210180182,0.0,1.0,24.0,169.0,169.0,16.0,60887135180.0,OST0010,67.080214452,7.0,64294621248.0,OST0007,70.8342898492,1509441902.0,0.0,0.0,0.0,1509442070.0,721,89.3972222222,5921,5.90840132239,9.38708205836,2.80208575356
2125,1509417307.0,1509417270.0,scratch3,7450317,66277.727341,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_write,lustre,0,0,/scratch3,0,posix,2250562879488,2048,/scratch3,2250562879488,1509442502,32.383488,7450317,2048,1509442465,2096.00001526,38,262144.0,7814454442.67,0.000244140625,7.27777783076,0.841704375,20.3742855035,0.0,0.270833333333,0.0243055555556,1.38018,39.5491,75497472.0,2.25056287949e+12,0.0703125,2096.00001526,1509442201.0,34832668440.0,38.375641455,0.0,1.0,36.0,269.0,269.0,31.0,33215285352.0,OST001f,36.5937477254,11.0,36818224104.0,OST000b,40.5631560976,1509442202.0,0.0,0.0,0.0,1509442470.0,697,58.0711111111,5759,4.6596896638,8.72034945566,1.15817512877
